Event ID,Timestamp,User ID,Device ID,Session ID,Source IP,Destination IP,Source Port,Destination Port,Protocol,Country,City,Login Method,Access Type,Login Attempts,Login Success,Session Duration,Actions Count,Privilege Level,Operating System,Application,Device Type,Threat Type,Threat Severity,Anomaly Score,Malware Detected,Intrusion Flag,Response Action,Incident Status,Data Exfiltration (MB)
1,2024-09-25 12:36:44,user_271,device_107,session_5192,189.21.103.122,211.215.75.203,48215,3389,ICMP,China,Berlin,OAuth,Local,6,0,5081,21,User,Linux,Firefox,Desktop,None,Low,0.43194501864211576,0,0,Allowed,Resolved,0.0
2,2024-04-17 16:54:08,user_475,device_59,session_2559,170.220.188.208,15.190.190.175,36797,22,ICMP,Germany,London,Password,Remote,3,1,676,21,User,Linux,Safari,Desktop,Malware,High,0.9656320330745594,1,0,Quarantined,Resolved,17.823463587904953
3,2024-08-03 07:28:01,user_340,device_92,session_5487,188.199.172.253,8.175.35.206,36944,21,UDP,Canada,Delhi,Password,Local,6,0,1530,191,Admin,Android,Firefox,Mobile,Brute Force,Medium,0.8948273504276488,0,1,Blocked,Resolved,0.0
4,2024-09-06 10:29:59,user_213,device_720,session_7917,82.111.53.24,154.217.252.188,9595,3389,TCP,Brazil,Beijing,Password,Remote,7,0,5278,136,User,macOS,Edge,Desktop,None,Low,0.71134195274865,0,0,Allowed,Resolved,0.0
5,2024-02-25 07:54:10,user_289,device_379,session_5893,234.231.250.41,28.135.201.72,14091,443,TCP,Canada,Beijing,Password,Remote,3,1,2761,104,User,macOS,Chrome,Server,None,Low,0.1195942459383017,0,0,Allowed,Resolved,0.0
6,2024-04-24 16:41:49,user_131,device_769,session_1029,218.247.142.103,27.137.207.15,23385,443,TCP,India,Beijing,MFA,Remote,4,1,5146,96,User,iOS,Edge,Server,None,Low,0.41038292303562973,0,0,Allowed,Resolved,0.0
7,2024-10-02 22:46:02,user_29,device_36,session_6669,160.71.187.243,86.28.66.170,65068,80,TCP,China,Delhi,MFA,Local,7,1,3332,190,User,Windows,Edge,Mobile,None,Low,0.0005203769953158188,0,0,Allowed,Resolved,0.0
8,2024-02-20 00:37:32,user_233,device_259,session_7527,198.200.155.137,62.165.225.51,14569,21,ICMP,India,Sao Paulo,Password,Remote,4,1,5262,62,Root,Android,Safari,Mobile,None,Low,0.6963042728397884,0,0,Allowed,Resolved,0.0
9,2024-03-07 06:26:10,user_113,device_613,session_3697,184.81.187.113,2.130.220.54,1878,3389,TCP,Nigeria,New York,MFA,Remote,6,0,4961,183,Admin,macOS,Chrome,Server,Insider,Critical,0.8031397563798959,0,1,Investigating,Investigating,320.4295582728384
10,2024-08-12 22:09:14,user_240,device_144,session_8801,201.124.187.70,208.93.3.148,3835,22,ICMP,USA,New York,MFA,VPN,4,1,518,161,User,Linux,Safari,Desktop,None,Low,0.6756901170392807,0,0,Allowed,Resolved,0.0
11,2024-02-11 19:30:00,user_473,device_946,session_5535,222.42.99.7,252.144.90.112,43000,21,TCP,USA,Abuja,Password,Remote,5,1,7188,9,User,macOS,Safari,Server,Phishing,Medium,0.8563242918780924,0,0,Blocked,Investigating,0.0
12,2024-10-26 00:07:38,user_113,device_968,session_5540,166.104.84.254,227.112.254.217,17506,80,TCP,USA,London,Password,Local,6,0,986,169,User,Android,Chrome,Mobile,None,Low,0.3253996981592677,0,0,Allowed,Resolved,0.0
13,2024-08-01 22:45:39,user_384,device_392,session_1219,145.128.33.176,204.187.115.214,20854,3389,ICMP,China,London,MFA,Local,5,0,6457,111,User,iOS,Safari,Desktop,None,Low,0.4991933798847523,0,0,Allowed,Resolved,0.0
14,2024-03-25 02:16:35,user_35,device_192,session_7680,17.172.220.158,221.46.117.6,48226,21,TCP,Brazil,London,Password,Local,5,0,729,116,User,iOS,Safari,Server,None,Low,0.2684748568901568,0,0,Allowed,Resolved,0.0
15,2024-02-14 23:33:22,user_128,device_18,session_1817,234.223.54.58,67.104.174.24,46705,443,ICMP,India,Lagos,MFA,Remote,8,0,4371,176,User,Linux,Edge,Mobile,Phishing,Medium,0.8101133946791808,0,0,Blocked,Investigating,0.0
16,2024-06-21 10:53:47,user_391,device_825,session_4781,20.65.8.238,144.142.204.115,56790,21,UDP,USA,London,Password,Local,3,1,3766,186,User,iOS,Firefox,Mobile,Phishing,Medium,0.8604046183116753,0,0,Blocked,Resolved,0.0
17,2024-04-23 17:45:41,user_271,device_54,session_2492,101.225.8.53,60.236.108.5,22630,21,UDP,Brazil,London,Password,VPN,3,1,6996,168,Admin,iOS,Firefox,Mobile,None,Low,0.32295647294124596,0,0,Allowed,Resolved,0.0
18,2024-10-31 09:51:12,user_120,device_831,session_5178,183.90.229.218,117.62.23.127,24968,21,TCP,Nigeria,Lagos,OAuth,VPN,2,1,5245,126,User,Windows,Safari,Desktop,None,Low,0.27993389694594284,0,0,Allowed,Resolved,0.0
